City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Norman Wells,CA,65.28,-126.83,33.8,65,20,5.82,few clouds
176,Bondo,CD,3.81,23.69,77.65,93,57,3.02,light rain
177,Guerrero Negro,MX,27.98,-114.06,77.61,67,0,6.46,clear sky
178,Saint George,US,37.1,-113.58,82.4,21,1,5.82,clear sky
179,Clyde River,CA,70.47,-68.59,48.2,81,20,17.22,few clouds
180,Ghanzi,BW,-21.57,21.78,78.03,17,65,13.49,broken clouds
181,Portobelo,PA,9.55,-79.65,84.99,78,40,5.68,scattered clouds
182,Cherskiy,RU,68.75,161.3,35.96,96,90,5.66,overcast clouds
183,Makurdi,NG,7.74,8.51,84.24,67,43,5.23,scattered clouds
184,Kaura Namoda,NG,12.59,6.58,83.34,65,74,12.1,light rain
185,Manaus,BR,-3.1,-60.02,84.2,70,75,5.82,broken clouds
186,Povenets,RU,62.85,34.83,54.61,72,45,9.08,scattered clouds
187,Mandali,IQ,33.75,45.55,103.98,7,0,8.61,clear sky
188,Chokurdakh,RU,70.63,147.92,38.39,93,100,4.97,overcast clouds
189,Stokmarknes,NO,68.56,14.91,53.01,67,94,5.99,overcast clouds
190,Grindavik,IS,63.84,-22.43,53.6,76,75,13.87,broken clouds
191,Henties Bay,NA,-22.12,14.28,63.0,68,0,14.0,clear sky
192,Bambous Virieux,MU,-20.34,57.76,73.0,83,75,12.75,shower rain
193,Aykino,RU,62.22,49.99,55.63,78,87,6.82,overcast clouds
194,Olinda,BR,-8.01,-34.86,84.2,70,75,13.87,broken clouds
195,Cotonou,BJ,6.37,2.42,82.4,74,40,16.11,scattered clouds
196,Sola,VU,-13.88,167.55,79.5,85,96,22.26,overcast clouds
197,Sitka,US,57.05,-135.33,48.2,93,40,2.8,scattered clouds
198,Castro,BR,-24.79,-50.01,77.76,45,0,7.18,clear sky
199,Akyab,MM,20.15,92.9,82.22,86,76,7.29,broken clouds
200,San Juan Del Sur,NI,11.25,-85.87,80.6,78,75,4.7,broken clouds
201,Olafsvik,IS,64.89,-23.71,52.61,82,100,9.26,overcast clouds
202,Mudanya,TR,40.38,28.88,95.0,28,0,13.87,clear sky
203,Cabo San Lucas,MX,22.89,-109.91,79.0,92,100,1.99,overcast clouds
204,Avera,US,33.19,-82.53,84.2,79,90,12.75,overcast clouds
205,Neiafu,TO,-18.65,-173.98,77.0,73,75,14.99,broken clouds
206,Yeppoon,AU,-23.13,150.73,60.8,72,40,8.05,scattered clouds
