City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Kahului,US,77.0,clear sky,20.89,-156.47,Maui Seaside Hotel
115,San Policarpo,PH,80.22,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
116,San Patricio,MX,77.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
117,Boldva,HU,84.2,clear sky,48.22,20.8,Éva Vendégház
118,Dingle,PH,76.35,overcast clouds,11.0,122.67,Camp Pasica
120,Bengkulu,ID,78.1,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
123,Kuah,MY,84.2,few clouds,6.33,99.84,Azio Hotel
127,Ponta Do Sol,PT,78.8,scattered clouds,32.67,-17.1,Hotel do Campo
128,Bo Rai,TH,77.58,scattered clouds,12.57,102.54,Baiboon Resort
139,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
140,Alappuzha,IN,80.42,overcast clouds,9.49,76.33,Panoramic Sea Resort
142,Tupaciguara,BR,78.8,clear sky,-18.59,-48.7,Hotel Santa Terezinha
148,Nuevo Progreso,MX,84.99,overcast clouds,23.17,-97.95,Balneario Rio el Paraiso
154,Baoding,CN,78.22,light rain,38.85,115.49,Xiu Lan Hotel
159,Finschhafen,PG,77.58,light rain,-6.6,147.87,Cossam Guest House
162,Victoria,HK,86.0,clear sky,22.29,114.16,Mini Hotel Central
164,Luena,AO,86.0,broken clouds,-11.78,19.92,Hotel Kandamba
170,Acapulco,MX,77.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
171,Hue,VN,84.2,scattered clouds,16.47,107.6,Saigon Morin Hotel
172,Darnah,LY,81.46,clear sky,32.77,22.64,زاوية الرفاعي
174,Westport,US,75.2,light rain,41.14,-73.36,The Westport Inn
177,Guerrero Negro,MX,77.61,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
178,Saint George,US,82.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
180,Ghanzi,BW,78.03,broken clouds,-21.57,21.78,Ghanzi Farmhouse
181,Portobelo,PA,84.99,scattered clouds,9.55,-79.65,La Finca
183,Makurdi,NG,84.24,scattered clouds,7.74,8.51,Doo Palace Hotel
184,Kaura Namoda,NG,83.34,light rain,12.59,6.58,Moonlight Hotel
185,Manaus,BR,84.2,broken clouds,-3.1,-60.02,Hotel do Largo
194,Olinda,BR,84.2,broken clouds,-8.01,-34.86,Hotel 5 Sóis
195,Cotonou,BJ,82.4,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
196,Sola,VU,79.5,overcast clouds,-13.88,167.55,Leumerus Bungalows
198,Castro,BR,77.76,clear sky,-24.79,-50.01,CHACARA BAILLY
199,Akyab,MM,82.22,broken clouds,20.15,92.9,Hotel Memory
200,San Juan Del Sur,NI,80.6,broken clouds,11.25,-85.87,Nuestra Casa
203,Cabo San Lucas,MX,79.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
205,Neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
208,Pedasi,PA,81.82,overcast clouds,7.53,-80.03,Selina Pedasi
210,Urumqi,CN,77.0,few clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
212,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
215,Nisia Floresta,BR,84.2,broken clouds,-6.09,-35.21,Rancho Crepusculo
216,Tapes,BR,75.51,scattered clouds,-30.67,-51.4,Cabanas Camping Union
218,Sokoto,NG,86.67,light rain,13.06,5.24,RG Palace
227,Praia Da Vitoria,PT,80.6,scattered clouds,38.73,-27.07,Hotel Branco I
231,Tanete,ID,75.51,broken clouds,-3.94,119.78,Wisma Tri Multi
232,Cayenne,GF,84.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
233,Ipixuna,BR,86.0,broken clouds,-1.76,-48.8,Casa da Oscarina
234,Banda Aceh,ID,81.43,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
235,Lamu,KE,77.22,few clouds,-2.27,40.9,Lamu House
240,Gushikawa,JP,82.4,clear sky,26.35,127.87,Kirari Guest House
241,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
247,Harlingen,US,86.0,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
248,Piacabucu,BR,81.0,few clouds,-10.41,-36.43,Piaçabuçu News
