City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Zhigansk,RU,2020-08-27 21:38:23,66.77,123.37,49.59,57,4,6.53
100,Tallahassee,US,2020-08-27 21:36:51,30.44,-84.28,91.4,55,75,9.17
101,Grindavik,IS,2020-08-27 21:38:23,63.84,-22.43,50.0,81,90,12.75
102,Cherskiy,RU,2020-08-27 21:38:23,68.75,161.3,41.36,94,100,1.39
103,Qaanaaq,GL,2020-08-27 21:38:23,77.48,-69.36,38.75,87,100,10.49
104,El Dovio,CO,2020-08-27 21:38:23,4.51,-76.24,78.8,69,40,6.93
105,Mahad,IN,2020-08-27 21:38:23,18.08,73.42,76.59,86,90,2.19
106,Jalu,LY,2020-08-27 21:38:23,29.03,21.55,76.96,66,0,12.24
107,Lompoc,US,2020-08-27 21:38:23,34.64,-120.46,68.0,64,1,16.11
108,Sioux Lookout,CA,2020-08-27 21:38:23,50.1,-91.92,69.8,52,75,5.82
109,Jizan,SA,2020-08-27 21:38:23,17.33,42.67,91.4,70,40,3.36
110,Salima,MW,2020-08-27 21:38:24,-13.78,34.46,75.15,49,60,2.68
111,Pangai,TO,2020-08-27 21:38:24,-19.8,-174.35,80.6,74,20,11.41
112,Pacific Grove,US,2020-08-27 21:37:50,36.62,-121.92,68.0,60,75,11.41
113,Jamestown,US,2020-08-27 21:34:18,42.1,-79.24,64.4,93,90,23.04
114,Macherla,IN,2020-08-27 21:38:24,16.48,79.43,76.69,84,100,5.08
115,Eyl,SO,2020-08-27 21:38:24,7.98,49.82,76.69,74,100,23.02
116,Coquimbo,CL,2020-08-27 21:38:24,-29.95,-71.34,55.4,76,40,9.17
117,San Patricio,MX,2020-08-27 21:38:24,19.22,-104.7,76.44,91,100,6.31
118,Coihaique,CL,2020-08-27 21:38:24,-45.58,-72.07,37.4,86,90,3.36
119,Poum,NC,2020-08-27 21:38:24,-20.23,164.02,68.2,82,95,13.06
120,Kadungora,ID,2020-08-27 21:38:24,-7.09,107.89,63.82,88,23,2.95
121,Kirakira,SB,2020-08-27 21:38:24,-10.45,161.92,83.19,76,48,14.97
122,Tanout,NE,2020-08-27 21:38:24,14.97,8.89,89.26,40,92,5.88
123,Hyeres,FR,2020-08-27 21:38:25,43.12,6.12,77.0,57,0,2.24
124,Castro,BR,2020-08-27 21:38:25,-24.79,-50.01,57.54,78,0,3.11
125,Yumen,CN,2020-08-27 21:38:25,40.28,97.2,58.03,32,50,11.63
126,Rankovce,MK,2020-08-27 21:38:25,42.17,22.12,64.4,82,29,3.87
127,Sur,OM,2020-08-27 21:38:25,22.57,59.53,83.84,69,100,9.55
128,Winslow,US,2020-08-27 21:38:25,35.02,-110.7,93.2,17,1,2.55
129,Mlonggo,ID,2020-08-27 21:38:25,-6.53,110.7,74.32,82,100,5.5
130,Gazli,UZ,2020-08-27 21:38:25,40.13,63.45,68.02,42,0,12.5
131,Ontario,US,2020-08-27 21:37:03,34.06,-117.65,102.0,16,20,12.75
132,Newark,US,2020-08-27 21:34:13,40.74,-74.17,93.2,44,40,13.87
133,Beloha,MG,2020-08-27 21:38:25,-25.17,45.05,68.99,87,36,11.23
134,Glarus,CH,2020-08-27 21:38:25,47.04,9.07,64.0,74,53,3.0
135,Kizema,RU,2020-08-27 21:38:25,61.11,44.83,49.32,85,93,2.86
136,Isla Vista,US,2020-08-27 21:38:25,34.41,-119.86,80.01,60,1,8.05
137,Sweetwater,US,2020-08-27 21:38:25,25.76,-80.37,91.99,66,75,10.29
138,Pangnirtung,CA,2020-08-27 21:38:25,66.15,-65.71,48.2,81,20,10.29
139,Mar Del Plata,AR,2020-08-27 21:37:12,-38.0,-57.56,64.4,39,0,5.93
